SeniorCitizen,Partner,Dependents,OnlineSecurity,TechSupport,Contract,PaperlessBilling,tenure,MonthlyCharges,TotalCharges,Churn
No,No,No,No,No,Month-to-month,Yes,11,97.85,1076.35,1
No,Yes,Yes,No,No,One year,No,10,49.55,495.5,0
No,Yes,Yes,Yes,No,Two year,Yes,70,69.2,4844.0,0
No,Yes,Yes,No,No,One year,No,17,20.75,352.75,0
No,No,No,Yes,Yes,Two year,Yes,63,79.85,5030.549999999999,0
No,Yes,No,Yes,Yes,Month-to-month,Yes,13,76.2,990.6,0
No,No,No,No,No,Month-to-month,Yes,49,84.5,4140.5,0
No,No,No,No,No,Month-to-month,No,2,49.25,98.5,0
No,No,No,No,No,Month-to-month,Yes,2,80.65,161.3,1
No,No,No,Yes,Yes,Two year,Yes,52,79.75,4147.0,0
No,Yes,Yes,Yes,Yes,Two year,Yes,69,64.15,4426.35,0
Yes,No,No,No,No,Month-to-month,Yes,43,90.25,3880.75,0
No,No,No,Yes,No,Month-to-month,Yes,15,99.1,1486.5,1
Yes,Yes,No,Yes,Yes,Month-to-month,Yes,25,69.5,1737.5,0
Yes,Yes,No,No,No,Month-to-month,Yes,8,80.65,645.2,1
Yes,Yes,Yes,Yes,Yes,One year,Yes,60,74.85,4491.0,0
Yes,No,No,No,No,Month-to-month,Yes,18,95.45,1718.1000000000001,1
No,Yes,Yes,Yes,No,One year,Yes,63,99.65,6277.950000000001,0
Yes,Yes,Yes,No,Yes,One year,Yes,66,108.45,7157.7,0
No,Yes,Yes,No,No,Two year,No,34,24.95,848.3,0
No,No,No,No,Yes,Two year,Yes,72,107.5,7740.0,0
No,Yes,No,No,No,Month-to-month,Yes,47,100.5,4723.5,0
No,No,No,No,No,Month-to-month,Yes,60,89.9,5394.0,0
No,Yes,No,Yes,No,Two year,No,72,42.1,3031.2000000000003,0
No,Yes,Yes,No,Yes,One year,Yes,18,54.4,979.1999999999999,0
No,No,No,No,No,Month-to-month,No,9,94.4,849.6,1
No,No,No,No,Yes,Month-to-month,Yes,3,75.3,225.89999999999998,0
No,Yes,No,No,No,One year,Yes,47,78.9,3708.3,0
No,No,No,No,Yes,Two year,No,31,79.2,2455.2000000000003,0
No,Yes,Yes,No,No,Two year,No,50,20.15,1007.4999999999999,0
No,No,No,Yes,No,Month-to-month,Yes,10,79.85,798.5,0
No,No,No,No,Yes,Month-to-month,No,1,49.05,49.05,0
No,Yes,Yes,No,No,One year,Yes,52,20.4,1060.8,0
Yes,Yes,Yes,Yes,Yes,Two year,Yes,64,111.6,7142.4,0
No,Yes,Yes,No,No,Two year,Yes,62,24.25,1503.5,0
No,No,Yes,Yes,Yes,Month-to-month,Yes,3,64.5,193.5,0
Yes,No,No,Yes,No,One year,No,56,110.5,6188.0,0
No,No,No,No,No,One year,No,46,55.65,2559.9,0
No,Yes,Yes,Yes,No,Month-to-month,No,8,54.65,437.2,0
Yes,No,No,Yes,No,Month-to-month,Yes,30,74.75,2242.5,0
No,Yes,Yes,No,No,One year,Yes,45,25.9,1165.5,0
No,No,Yes,No,No,Month-to-month,Yes,1,79.35,79.35,1
No,Yes,Yes,Yes,No,Month-to-month,No,11,50.55,556.05,0
No,Yes,No,No,No,Month-to-month,Yes,7,75.15,526.0500000000001,1
No,No,No,No,Yes,Month-to-month,Yes,42,103.8,4359.599999999999,0
No,Yes,No,No,No,Two year,Yes,49,20.15,987.3499999999999,0
No,No,No,No,No,Month-to-month,Yes,9,99.3,893.6999999999999,0
No,Yes,No,Yes,No,One year,Yes,35,62.15,2175.25,0
No,Yes,Yes,No,No,Two year,No,48,20.65,991.1999999999999,0
No,Yes,Yes,No,No,Two year,Yes,46,19.95,917.6999999999999,0
No,Yes,No,No,No,Month-to-month,No,29,33.75,978.75,0
No,Yes,Yes,No,No,Month-to-month,No,30,82.05,2461.5,0
Yes,No,No,No,Yes,Month-to-month,No,1,74.7,74.7,0
No,Yes,Yes,Yes,Yes,Two year,Yes,66,84.0,5544.0,0
No,No,No,Yes,No,Month-to-month,Yes,65,111.05,7218.25,0
No,No,No,No,No,Two year,Yes,72,100.9,7264.8,0
No,No,No,Yes,No,Month-to-month,Yes,12,78.95,947.4000000000001,1
No,Yes,Yes,Yes,Yes,One year,Yes,71,66.85,4746.349999999999,0
No,No,No,No,No,Month-to-month,No,5,21.05,105.25,1
No,No,No,No,No,Two year,No,52,21.0,1092.0,0
Yes,Yes,No,No,No,Month-to-month,Yes,25,98.5,2462.5,1
No,No,No,No,No,Month-to-month,No,1,20.2,20.2,0
No,Yes,Yes,No,No,Month-to-month,No,1,19.45,19.45,0
No,No,No,No,Yes,One year,No,38,95.0,3610.0,0
Yes,Yes,No,No,No,One year,No,66,45.55,3006.2999999999997,0
No,Yes,No,No,Yes,Two year,Yes,68,110.0,7480.0,1
No,No,No,No,No,Month-to-month,No,5,24.3,121.5,0
No,Yes,Yes,Yes,No,One year,Yes,72,104.15,7498.8,0
No,No,No,Yes,No,One year,No,32,30.15,964.8,0
No,No,No,No,No,One year,No,43,94.35,4057.0499999999997,0
No,Yes,Yes,No,No,Two year,No,72,19.4,1396.8,0
No,Yes,No,Yes,No,Month-to-month,Yes,55,96.75,5321.25,1
No,No,No,Yes,Yes,One year,No,52,57.95,3013.4,0
No,No,No,No,No,Month-to-month,Yes,43,91.65,3940.9500000000003,0
Yes,Yes,No,No,No,Month-to-month,Yes,37,76.5,2830.5,1
No,Yes,Yes,No,Yes,Two year,Yes,64,54.6,3494.4,0
No,Yes,Yes,Yes,No,Month-to-month,No,3,89.85,269.54999999999995,0
No,No,No,Yes,No,Two year,No,36,31.05,1117.8,0
No,Yes,Yes,Yes,No,Month-to-month,Yes,10,100.25,1002.5,1
No,No,No,No,No,Two year,No,41,20.65,846.65,0
No,Yes,Yes,No,Yes,Month-to-month,Yes,27,85.2,2300.4,0
No,Yes,Yes,No,No,One year,Yes,56,99.8,5588.8,0
No,No,No,No,No,Month-to-month,No,6,20.7,124.19999999999999,0
No,No,No,No,No,Month-to-month,Yes,3,74.4,223.20000000000002,1
No,Yes,Yes,Yes,No,Month-to-month,No,7,50.7,354.90000000000003,0
No,Yes,Yes,No,No,Month-to-month,No,4,20.85,83.4,0
No,No,No,Yes,Yes,Two year,Yes,33,88.95,2935.35,0
Yes,No,No,No,No,Month-to-month,Yes,27,78.05,2107.35,1
No,Yes,No,No,No,Two year,Yes,72,23.55,1695.6000000000001,0
No,No,No,No,No,Month-to-month,No,1,19.75,19.75,0
Yes,No,No,Yes,No,One year,Yes,71,56.45,4007.9500000000003,0
No,No,No,No,No,Month-to-month,Yes,13,85.95,1117.3500000000001,0
No,Yes,Yes,Yes,No,Month-to-month,Yes,25,58.6,1465.0,1
No,No,No,No,Yes,Two year,No,67,50.55,3386.85,0
No,No,No,No,No,Month-to-month,Yes,1,35.45,35.45,1
No,No,No,No,No,Month-to-month,No,2,44.35,88.7,1
No,No,No,No,No,Two year,Yes,43,25.7,1105.1,0
No,No,No,Yes,No,Month-to-month,Yes,23,75.0,1725.0,0
No,Yes,Yes,No,No,Two year,No,64,20.2,1292.8,0
No,No,Yes,No,No,Two year,Yes,57,19.6,1117.2,0
Yes,Yes,No,No,No,Month-to-month,Yes,1,70.45,70.45,1
Yes,Yes,Yes,Yes,Yes,Two year,Yes,72,88.05,6339.599999999999,0
No,No,No,Yes,Yes,Month-to-month,No,8,71.15,569.2,1
No,Yes,No,No,No,Two year,Yes,61,101.05,6164.05,0
No,No,No,Yes,No,One year,Yes,64,84.3,5395.2,0
Yes,Yes,No,No,No,Two year,No,71,23.95,1700.45,0
No,Yes,Yes,Yes,Yes,Two year,Yes,65,99.05,6438.25,0
No,No,No,No,No,One year,No,3,19.6,58.800000000000004,0
No,No,No,No,No,Month-to-month,Yes,1,45.65,45.65,1
No,No,Yes,No,No,One year,No,30,64.5,1935.0,0
No,Yes,Yes,No,Yes,Month-to-month,Yes,15,69.5,1042.5,0
No,Yes,Yes,No,Yes,Month-to-month,Yes,8,68.55,548.4,0
No,No,No,No,No,Month-to-month,No,7,95.0,665.0,1
No,Yes,Yes,Yes,No,One year,Yes,70,108.15,7570.5,0
No,Yes,Yes,Yes,Yes,Two year,No,62,86.1,5338.2,0
No,Yes,Yes,No,No,Month-to-month,No,6,19.7,118.19999999999999,0
No,Yes,Yes,No,No,Month-to-month,Yes,14,80.9,1132.6000000000001,0
No,No,No,No,No,Month-to-month,Yes,22,84.15,1851.3000000000002,0
No,Yes,Yes,No,No,One year,No,22,20.15,443.29999999999995,0
No,Yes,Yes,Yes,No,Two year,No,16,64.25,1028.0,0
No,No,No,No,No,Two year,No,10,25.7,257.0,0
No,No,Yes,Yes,No,Month-to-month,Yes,13,56.0,728.0,0
No,Yes,No,Yes,No,Month-to-month,No,20,82.4,1648.0,1
No,No,No,No,No,Month-to-month,Yes,2,69.7,139.4,0
No,No,No,No,Yes,Two year,Yes,53,73.9,3916.7000000000003,0
No,Yes,Yes,No,No,One year,No,11,20.6,226.60000000000002,0
No,Yes,No,No,No,Two year,No,69,19.9,1373.1,0
No,No,No,No,No,Month-to-month,Yes,4,70.9,283.6,1
No,Yes,No,Yes,Yes,Two year,Yes,72,89.05,6411.599999999999,0
Yes,Yes,No,No,No,Month-to-month,Yes,58,45.3,2627.3999999999996,1
No,Yes,Yes,No,No,Month-to-month,No,16,20.4,326.4,0
No,Yes,No,Yes,Yes,One year,Yes,43,84.25,3622.75,0
No,Yes,No,No,Yes,Month-to-month,Yes,2,104.4,208.8,1
No,Yes,No,No,Yes,Two year,No,14,81.95,1147.3,0
No,Yes,No,No,No,One year,Yes,53,94.85,5027.049999999999,1
No,No,No,No,No,One year,No,32,20.55,657.6,0
No,Yes,No,No,No,Month-to-month,No,34,24.7,839.8,0
Yes,No,No,No,No,Month-to-month,Yes,15,74.45,1116.75,1
Yes,No,No,Yes,No,Month-to-month,No,7,76.45,535.15,1
No,Yes,Yes,No,No,Month-to-month,Yes,15,105.35,1580.25,0
No,Yes,No,No,No,One year,Yes,61,20.55,1253.55,0
No,No,No,No,No,Month-to-month,No,1,29.95,29.95,1
No,No,No,No,No,Month-to-month,No,1,45.3,45.3,0
No,No,No,No,No,Month-to-month,No,8,84.5,676.0,1
No,Yes,Yes,Yes,No,One year,No,33,74.75,2466.75,0
No,No,No,No,No,Month-to-month,Yes,13,79.25,1030.25,1
No,Yes,No,No,No,Month-to-month,Yes,1,24.8,24.8,1
No,No,No,No,No,Month-to-month,Yes,20,51.8,1036.0,0
No,No,No,No,Yes,Month-to-month,No,3,30.4,91.19999999999999,0
No,No,No,No,No,One year,No,13,19.65,255.45,0
No,Yes,No,No,No,Month-to-month,No,40,56.6,2264.0,0
No,Yes,Yes,Yes,Yes,One year,Yes,43,71.9,3091.7000000000003,0
No,Yes,No,No,No,Month-to-month,Yes,6,91.0,546.0,1
No,Yes,Yes,No,No,Two year,No,69,19.75,1362.75,0
No,Yes,Yes,Yes,No,Two year,No,72,109.7,7898.400000000001,0
No,Yes,Yes,No,No,Two year,No,59,19.3,1138.7,0
No,Yes,No,Yes,Yes,Month-to-month,Yes,20,96.55,1931.0,0
No,Yes,Yes,No,No,Two year,Yes,24,24.1,578.4000000000001,0
No,No,No,No,Yes,Month-to-month,Yes,59,111.35,6569.65,0
No,Yes,Yes,No,Yes,Two year,Yes,72,112.25,8082.0,0
No,No,Yes,No,No,Month-to-month,No,1,20.75,20.75,0
No,Yes,No,Yes,Yes,One year,Yes,27,101.9,2751.3,0
No,No,No,No,Yes,Month-to-month,Yes,14,80.05,1120.7,0
No,Yes,Yes,Yes,No,Two year,No,71,105.55,7494.05,0
No,No,Yes,No,No,Month-to-month,Yes,13,78.3,1017.9,0
No,No,No,No,No,Month-to-month,No,44,68.85,3029.3999999999996,0
No,No,No,No,Yes,One year,Yes,33,79.95,2638.35,0
No,Yes,Yes,Yes,Yes,Two year,Yes,72,55.45,3992.4,0
No,No,No,No,No,Month-to-month,No,1,79.9,79.9,1
No,No,No,Yes,Yes,Month-to-month,Yes,19,106.6,2025.3999999999999,1
No,Yes,No,No,Yes,One year,Yes,64,102.45,6556.8,0
No,No,No,No,No,Month-to-month,Yes,2,46.0,92.0,1
No,No,No,No,No,Month-to-month,No,1,25.25,25.25,0
No,No,Yes,No,No,Two year,No,61,19.75,1204.75,0
No,Yes,Yes,No,No,One year,No,29,20.0,580.0,0
Yes,Yes,No,No,No,Month-to-month,No,23,86.8,1996.3999999999999,0
No,Yes,No,Yes,No,Month-to-month,Yes,57,58.75,3348.75,0
No,Yes,Yes,Yes,Yes,Two year,No,72,45.25,3258.0,0
No,Yes,No,Yes,Yes,Two year,Yes,66,56.6,3735.6,0
No,Yes,Yes,No,Yes,Two year,Yes,65,84.2,5473.0,0
No,No,No,No,No,Month-to-month,Yes,8,80.0,640.0,0
No,No,No,No,No,Month-to-month,Yes,4,70.15,280.6,1
No,Yes,No,No,No,Two year,No,71,24.75,1757.25,0
No,Yes,Yes,No,No,One year,Yes,1,20.2,20.2,0
No,Yes,No,No,Yes,Month-to-month,No,4,50.05,200.2,1
No,No,No,No,No,One year,Yes,12,19.35,232.20000000000002,0
No,No,No,Yes,No,One year,Yes,24,50.6,1214.4,0
No,Yes,Yes,Yes,Yes,One year,Yes,31,81.15,2515.65,0
No,Yes,No,No,No,Month-to-month,No,1,55.2,55.2,1
No,No,No,No,Yes,Month-to-month,Yes,30,89.9,2697.0,0
No,Yes,Yes,Yes,Yes,Two year,Yes,47,85.3,4009.1,0
No,No,No,Yes,Yes,Two year,Yes,54,108.0,5832.0,0
No,No,No,Yes,Yes,Month-to-month,Yes,50,93.5,4675.0,0
No,No,No,Yes,No,Month-to-month,Yes,1,84.6,84.6,1
No,No,No,No,No,Two year,No,72,20.25,1458.0,0
No,No,No,No,No,Month-to-month,No,29,25.15,729.3499999999999,0
No,No,No,No,No,Month-to-month,Yes,2,54.4,108.8,1
No,No,No,No,Yes,Two year,Yes,10,29.6,296.0,0
No,Yes,No,No,No,Month-to-month,Yes,18,73.15,1316.7,0
Yes,No,No,No,No,Month-to-month,Yes,11,95.0,1045.0,1
No,No,No,No,No,Two year,No,16,19.75,316.0,0
No,No,No,No,Yes,Two year,No,72,86.6,6235.2,0
No,No,No,No,Yes,Two year,No,72,109.2,7862.400000000001,0
No,Yes,Yes,Yes,Yes,One year,Yes,41,74.7,3062.7000000000003,0
Yes,Yes,No,Yes,No,Month-to-month,No,65,94.4,6136.0,0
Yes,No,No,No,No,Month-to-month,Yes,13,54.8,712.4,0
Yes,No,No,Yes,No,Month-to-month,No,4,75.35,301.4,0
No,No,No,No,No,One year,No,41,65.0,2665.0,0
Yes,No,No,No,No,Month-to-month,Yes,15,74.4,1116.0,1
No,No,No,Yes,No,Month-to-month,Yes,1,48.55,48.55,1
No,No,No,Yes,No,One year,Yes,42,99.0,4158.0,0
No,Yes,No,Yes,No,One year,Yes,51,93.5,4768.5,0
No,Yes,Yes,No,No,Month-to-month,No,2,70.4,140.8,1
Yes,Yes,No,No,No,Month-to-month,No,1,40.2,40.2,1
No,No,Yes,No,Yes,One year,No,32,83.7,2678.4,0
No,No,No,No,No,Month-to-month,Yes,10,19.85,198.5,0
No,Yes,Yes,No,Yes,Two year,Yes,67,59.55,3989.85,0
No,Yes,Yes,Yes,Yes,Two year,No,61,115.1,7021.099999999999,0
No,No,No,Yes,Yes,One year,No,50,114.35,5717.5,0
No,Yes,No,No,No,Month-to-month,Yes,2,44.6,89.2,1
Yes,Yes,No,Yes,No,Month-to-month,Yes,29,45.0,1305.0,0
Yes,No,No,No,No,Month-to-month,Yes,3,41.15,123.44999999999999,1
Yes,No,No,No,No,Month-to-month,Yes,13,106.9,1389.7,1
Yes,Yes,No,No,No,Month-to-month,Yes,57,89.85,5121.45,0
No,No,No,Yes,Yes,Two year,Yes,31,49.85,1545.3500000000001,0
No,Yes,No,Yes,Yes,One year,No,45,113.3,5098.5,0
No,Yes,Yes,Yes,Yes,Two year,No,61,88.1,5374.099999999999,0
No,No,No,No,No,Two year,No,50,24.9,1245.0,0
Yes,No,No,Yes,Yes,Month-to-month,Yes,19,105.0,1995.0,0
No,No,No,No,No,Two year,No,59,19.35,1141.65,1
No,Yes,No,No,No,Two year,Yes,71,24.25,1721.75,0
Yes,No,No,No,Yes,Month-to-month,Yes,16,94.45,1511.2,1
No,Yes,No,Yes,Yes,Two year,Yes,57,59.75,3405.75,0
No,No,No,No,No,Month-to-month,No,1,24.8,24.8,1
Yes,Yes,No,No,Yes,Month-to-month,No,20,107.05,2141.0,0
No,No,No,No,No,Month-to-month,No,1,70.6,70.6,1
No,Yes,No,No,Yes,Month-to-month,Yes,5,85.4,427.0,1
No,Yes,No,No,No,Month-to-month,Yes,52,105.05,5462.599999999999,1
Yes,Yes,No,Yes,No,Month-to-month,Yes,21,64.95,1363.95,0
No,No,No,No,Yes,Month-to-month,Yes,14,55.0,770.0,0
No,No,No,No,No,Month-to-month,No,5,50.55,252.75,0
No,No,No,Yes,No,Month-to-month,No,6,55.15,330.9,0
No,No,No,No,No,Month-to-month,No,10,51.2,512.0,0
No,No,Yes,No,No,Month-to-month,No,1,25.4,25.4,0
No,No,No,Yes,No,Month-to-month,No,68,54.45,3702.6000000000004,0
No,Yes,Yes,No,No,Month-to-month,No,18,95.15,1712.7,1
No,No,No,No,No,One year,Yes,22,76.0,1672.0,0
No,No,No,No,No,Month-to-month,Yes,20,44.35,887.0,0
No,Yes,No,No,No,Month-to-month,No,1,70.0,70.0,1
Yes,No,No,No,No,Month-to-month,Yes,8,74.5,596.0,1
No,No,No,No,No,Month-to-month,Yes,10,44.85,448.5,1
Yes,No,No,No,No,Month-to-month,Yes,24,76.1,1826.3999999999999,1
No,No,No,Yes,No,One year,No,35,61.2,2142.0,0
No,Yes,Yes,No,Yes,One year,No,23,86.8,1996.3999999999999,0
Yes,No,No,No,No,Month-to-month,Yes,6,89.35,536.0999999999999,0
No,No,No,No,No,Month-to-month,No,12,19.7,236.39999999999998,0
No,No,No,No,No,Month-to-month,No,1,20.25,20.25,0
No,Yes,Yes,No,No,Two year,No,71,76.05,5399.55,0
Yes,Yes,No,No,No,Month-to-month,Yes,35,100.8,3528.0,0
No,Yes,Yes,No,No,Month-to-month,Yes,40,74.55,2982.0,0
No,No,Yes,Yes,No,Month-to-month,Yes,1,73.6,73.6,1
No,No,No,No,No,One year,Yes,23,64.9,1492.7,0
Yes,No,No,No,No,Month-to-month,Yes,4,95.45,381.8,1
No,No,No,No,Yes,Month-to-month,Yes,4,90.4,361.6,0
No,Yes,Yes,No,Yes,Two year,No,68,60.3,4100.4,0
No,No,Yes,No,No,Month-to-month,Yes,38,81.85,3110.2999999999997,0
No,Yes,Yes,No,No,Two year,No,52,24.8,1289.6000000000001,0
Yes,Yes,No,No,No,Month-to-month,Yes,32,74.9,2396.8,1
No,Yes,Yes,No,Yes,Two year,No,29,75.55,2190.95,0
Yes,Yes,Yes,No,No,Month-to-month,No,38,101.15,3843.7000000000003,0
No,No,Yes,Yes,No,One year,Yes,48,78.75,3780.0,0
No,No,No,No,No,Month-to-month,Yes,1,19.25,19.25,0
No,No,No,Yes,Yes,Month-to-month,Yes,22,89.05,1959.1,0
No,No,No,Yes,Yes,Two year,No,43,115.05,4947.15,0
Yes,Yes,No,No,No,Month-to-month,Yes,5,69.35,346.75,0
No,No,No,No,No,Month-to-month,Yes,5,80.6,403.0,1
No,Yes,Yes,Yes,Yes,One year,No,51,110.05,5612.55,0
No,No,No,No,No,Two year,Yes,71,19.9,1412.8999999999999,0
No,Yes,Yes,Yes,Yes,One year,No,38,80.3,3051.4,1
Yes,Yes,No,No,No,Month-to-month,Yes,24,93.15,2235.6000000000004,1
No,Yes,No,No,Yes,Month-to-month,Yes,35,91.5,3202.5,0
Yes,No,No,Yes,Yes,One year,No,54,82.45,4452.3,1
No,Yes,Yes,No,Yes,Two year,Yes,72,60.0,4320.0,0
No,No,No,No,No,Month-to-month,Yes,1,44.8,44.8,0
No,Yes,Yes,Yes,No,One year,No,9,48.6,437.40000000000003,0
No,No,No,Yes,Yes,Two year,Yes,69,60.05,4143.45,0
No,Yes,No,No,Yes,Month-to-month,Yes,52,102.7,5340.400000000001,0
Yes,Yes,No,No,Yes,Month-to-month,Yes,11,82.9,911.9000000000001,0
Yes,No,No,No,No,Month-to-month,Yes,2,70.35,140.7,1
Yes,Yes,Yes,No,No,Month-to-month,Yes,28,35.9,1005.1999999999999,0
Yes,No,No,No,No,Month-to-month,Yes,17,82.65,1405.0500000000002,0
No,Yes,Yes,No,No,Two year,Yes,35,19.85,694.75,0
No,No,No,No,No,One year,Yes,8,19.2,153.6,0
No,No,No,No,No,One year,Yes,46,94.9,4365.400000000001,0
No,No,No,No,No,Month-to-month,Yes,7,73.85,516.9499999999999,1
No,No,No,No,No,Month-to-month,No,2,80.6,161.2,1
No,Yes,Yes,No,Yes,One year,Yes,68,75.8,5154.4,1
No,No,No,No,No,Two year,Yes,43,104.6,4497.8,1
No,No,No,Yes,Yes,Two year,Yes,68,88.15,5994.200000000001,0
No,No,No,No,No,Month-to-month,Yes,36,94.8,3412.7999999999997,0
No,Yes,No,No,No,Month-to-month,Yes,63,103.4,6514.200000000001,1
Yes,No,No,No,Yes,Month-to-month,No,32,54.65,1748.8,0
No,Yes,No,Yes,Yes,Two year,No,71,85.75,6088.25,0
No,Yes,Yes,Yes,No,Month-to-month,Yes,66,67.45,4451.7,0
No,No,No,No,No,One year,No,63,20.5,1291.5,0
No,No,Yes,No,No,One year,Yes,41,20.25,830.25,0
Yes,No,No,No,No,Month-to-month,Yes,1,72.1,72.1,0
No,No,No,No,No,Month-to-month,Yes,2,90.4,180.8,1
No,Yes,No,No,No,Two year,No,70,19.45,1361.5,0
No,No,No,No,No,Month-to-month,Yes,23,44.95,1033.8500000000001,0
Yes,Yes,No,Yes,No,One year,No,64,97.0,6208.0,0
No,Yes,Yes,Yes,Yes,Two year,Yes,37,62.8,2323.6,0
No,No,Yes,No,No,One year,No,17,44.6,758.2,0
Yes,No,No,No,No,Month-to-month,Yes,7,89.15,624.0500000000001,0
No,Yes,Yes,No,No,Month-to-month,Yes,4,84.8,339.2,1
Yes,No,No,Yes,No,Month-to-month,Yes,21,41.9,879.9,1
No,No,No,No,No,Month-to-month,Yes,10,80.25,802.5,1
Yes,No,No,Yes,No,Month-to-month,Yes,16,54.1,865.6,0
No,Yes,No,No,Yes,Two year,Yes,64,105.25,6736.0,0
Yes,Yes,No,Yes,No,Month-to-month,No,27,30.75,830.25,1
No,Yes,Yes,Yes,No,One year,No,42,97.1,4078.2,0
No,No,Yes,No,No,Month-to-month,No,5,20.2,101.0,0
No,No,No,No,Yes,Two year,Yes,41,98.8,4050.7999999999997,0
No,Yes,No,No,No,One year,No,58,50.3,2917.3999999999996,0
No,No,No,No,No,Two year,Yes,47,20.55,965.85,0
No,No,No,No,Yes,Month-to-month,Yes,18,75.9,1366.2,0
No,No,No,No,No,Month-to-month,No,5,96.5,482.5,1
No,Yes,No,Yes,No,Month-to-month,Yes,23,59.95,1378.8500000000001,0
No,No,No,No,No,Month-to-month,No,1,19.15,19.15,0
No,Yes,No,No,No,One year,Yes,71,98.65,7004.150000000001,0
No,Yes,Yes,Yes,Yes,Two year,Yes,72,112.6,8107.2,0
No,Yes,Yes,No,No,One year,No,33,20.6,679.8000000000001,0
No,No,No,No,No,Month-to-month,Yes,2,85.65,171.3,1
No,No,Yes,Yes,Yes,Two year,No,24,35.75,858.0,0
No,Yes,Yes,No,Yes,One year,Yes,56,99.75,5586.0,0
No,No,No,No,No,Month-to-month,Yes,37,96.1,3555.7,0
No,No,No,No,Yes,One year,No,43,85.1,3659.2999999999997,0
No,No,No,No,No,Month-to-month,No,1,25.35,25.35,0
No,Yes,No,No,Yes,Month-to-month,Yes,25,104.95,2623.75,1
No,No,No,Yes,Yes,Two year,No,61,89.65,5468.650000000001,0
No,No,No,No,Yes,One year,No,17,86.75,1474.75,0
No,Yes,No,No,Yes,One year,Yes,41,86.2,3534.2000000000003,0
No,No,No,No,No,Month-to-month,No,1,50.65,50.65,1
Yes,Yes,Yes,Yes,Yes,Two year,Yes,72,64.8,4665.599999999999,0
No,No,No,No,No,Month-to-month,Yes,1,90.85,90.85,1
No,No,No,No,No,Two year,Yes,48,108.1,5188.799999999999,0
Yes,Yes,No,No,No,Month-to-month,No,11,19.95,219.45,1
Yes,Yes,No,No,No,Month-to-month,Yes,55,85.45,4699.75,1
No,No,No,Yes,Yes,One year,Yes,42,54.75,2299.5,0
No,No,No,No,No,Month-to-month,Yes,44,90.4,3977.6000000000004,0
No,No,Yes,No,No,Month-to-month,No,1,44.0,44.0,0
No,No,No,No,No,Month-to-month,Yes,27,95.6,2581.2,0
Yes,Yes,No,No,Yes,Month-to-month,Yes,27,84.8,2289.6,0
Yes,No,No,No,No,Month-to-month,Yes,2,44.3,88.6,0
